Zip,Weekday,Hour,Number of Trips
7601,2,14,1
7601,2,17,1
7601,2,21,2
7601,3,11,1
7601,3,12,2
7601,4,9,1
7601,4,13,1
7601,4,22,1
7603,0,7,1
7603,1,17,1
7603,4,11,1
7603,4,13,1
7604,0,19,1
7604,5,17,1
7604,6,10,1
7605,1,5,1
7605,5,15,1
7605,6,20,1
7606,1,13,1
7606,2,16,1
7606,6,10,1
7607,6,0,1
7608,0,11,1
7608,0,16,1
7608,3,15,1
7626,0,7,1
7626,5,20,1
7626,6,7,1
7627,2,10,1
7627,4,22,1
7631,0,7,1
7631,1,11,1
7631,1,13,1
7631,2,15,1
7631,3,6,1
7631,3,11,1
7631,3,13,1
7631,3,17,1
7631,3,18,1
7631,4,17,1
7631,4,19,1
7631,5,3,1
7631,5,4,1
7631,5,19,1
7631,6,12,1
7631,6,14,1
7632,0,16,1
7632,2,14,1
7632,2,22,1
7632,3,12,1
7632,3,13,1
7632,3,23,1
7632,4,3,1
7632,4,8,1
7632,4,9,2
7644,4,19,1
7645,6,7,1
7645,6,16,1
7647,2,13,1
7647,4,1,1
7648,0,12,1
7648,5,8,1
7650,3,13,1
7650,4,7,1
7652,0,23,1
7652,3,15,1
7652,5,14,1
7652,6,14,1
7660,0,22,1
7660,1,11,1
7660,3,6,1
7660,3,10,1
7660,3,17,1
7660,6,17,1
7661,1,21,1
7661,5,22,1
7662,3,15,1
7663,1,13,1
7666,5,15,1
7666,6,0,1
7666,6,10,1
7670,1,5,1
7670,2,16,1
7670,3,7,1
7670,6,13,1
7670,6,16,1
7675,6,12,1
7676,5,13,1
7676,5,23,1
7676,6,11,1
7701,6,0,1
7711,1,15,1
7716,3,21,1
7717,5,15,1
7717,5,18,1
7717,5,21,1
7717,5,22,1
7726,5,13,1
7728,3,23,1
7750,4,16,1
7756,5,0,1
7762,6,22,1
7834,4,13,1
7834,4,17,1
7876,5,9,1
7901,2,14,1
7901,2,16,1
7901,2,19,1
7901,3,11,1
7901,3,22,1
7901,3,23,1
7901,4,18,1
7901,5,15,1
7921,3,19,1
7924,2,22,1
7927,0,13,1
7927,1,7,1
7928,3,15,1
7928,3,22,1
7928,4,6,1
7928,6,18,1
7932,4,3,1
7932,4,22,1
7936,2,18,1
7936,3,15,1
7936,5,22,1
7940,2,7,1
7940,3,0,1
7940,3,18,1
7940,6,13,1
7950,6,12,1
7960,2,14,1
7960,3,22,1
7960,5,0,1
7974,3,9,1
7974,3,21,1
7974,6,12,1
7976,1,12,1
7980,4,15,1
7980,5,11,1
8542,0,16,1
8542,1,22,1
8550,2,22,1
8735,5,19,1
8735,5,22,1
8750,5,14,1
8750,5,19,1
8750,5,22,1
8750,6,0,1
8817,4,10,1
8820,0,8,1
8820,0,17,1
8824,6,9,1
8830,0,21,1
8830,4,9,1
8837,2,11,1
8854,3,10,1
8854,4,13,1
8859,5,6,1
8863,4,18,1
8880,3,11,1
8882,4,16,1
8882,6,16,1
8884,6,1,1
8901,1,14,1
8901,2,6,1
8901,2,8,1
8901,2,9,1
8901,5,14,1
8902,0,16,1
8902,1,18,1
8904,2,1,1
8904,5,0,1
8904,5,18,1
8904,5,23,1
8904,6,0,1
10001,0,0,6
10001,0,1,2
10001,0,2,3
10001,0,3,1
10001,0,4,7
10001,0,5,6
10001,0,6,3
10001,0,7,12
10001,0,8,18
10001,0,9,13
10001,0,10,18
10001,0,11,20
10001,0,12,13
10001,0,13,33
10001,0,14,25
10001,0,15,42
10001,0,16,55
10001,0,17,76
10001,0,18,41
10001,0,19,35
10001,0,20,37
10001,0,21,19
10001,0,22,17
10001,0,23,9
10001,1,0,6
10001,1,1,9
10001,1,3,3
10001,1,4,2
10001,1,5,9
10001,1,6,14
10001,1,7,22
10001,1,8,23
10001,1,9,23
10001,1,10,20
10001,1,11,19
10001,1,12,24
10001,1,13,33
10001,1,14,35
10001,1,15,47
10001,1,16,85
10001,1,17,105
10001,1,18,58
10001,1,19,55
10001,1,20,48
10001,1,21,35
10001,1,22,23
10001,1,23,11
10001,2,0,6
10001,2,1,7
10001,2,2,2
10001,2,3,1
10001,2,4,6
10001,2,5,6
10001,2,6,8
10001,2,7,31
10001,2,8,25
10001,2,9,18
10001,2,10,23
10001,2,11,28
10001,2,12,31
10001,2,13,28
10001,2,14,46
10001,2,15,63
10001,2,16,87
10001,2,17,89
10001,2,18,68
10001,2,19,57
10001,2,20,59
10001,2,21,33
10001,2,22,38
10001,2,23,16
10001,3,0,9
10001,3,1,5
10001,3,2,5
10001,3,3,5
10001,3,4,3
10001,3,5,5
10001,3,6,15
10001,3,7,20
10001,3,8,22
10001,3,9,30
10001,3,10,31
10001,3,11,30
10001,3,12,23
10001,3,13,36
10001,3,14,41
10001,3,15,54
10001,3,16,91
10001,3,17,101
10001,3,18,98
10001,3,19,54
10001,3,20,62
10001,3,21,55
10001,3,22,47
10001,3,23,34
10001,4,0,11
10001,4,1,11
10001,4,2,4
10001,4,3,3
10001,4,4,10
10001,4,5,10
10001,4,6,12
10001,4,7,18
10001,4,8,20
10001,4,9,26
10001,4,10,22
10001,4,11,24
10001,4,12,29
10001,4,13,30
10001,4,14,44
10001,4,15,46
10001,4,16,54
10001,4,17,72
10001,4,18,71
10001,4,19,45
10001,4,20,36
10001,4,21,42
10001,4,22,55
10001,4,23,36
10001,5,0,23
10001,5,1,18
10001,5,2,5
10001,5,3,5
10001,5,4,8
10001,5,5,6
10001,5,6,7
10001,5,7,5
10001,5,8,12
10001,5,9,8
10001,5,10,13
10001,5,11,16
10001,5,12,20
10001,5,13,16
10001,5,14,20
10001,5,15,31
10001,5,16,28
10001,5,17,34
10001,5,18,45
10001,5,19,21
10001,5,20,29
10001,5,21,30
10001,5,22,35
10001,5,23,36
10001,6,0,25
10001,6,1,15
10001,6,2,18
10001,6,3,5
10001,6,4,7
