Zip,Hour,Number of Trips
7701,23,1
7704,20,1
7704,21,1
7711,18,2
7711,19,1
7711,20,1
7711,23,1
7712,20,1
7712,22,1
7716,13,1
7717,0,2
7717,2,1
7717,16,1
7717,17,1
7717,18,1
7717,19,4
7717,20,2
7717,21,5
7717,22,5
7717,23,3
7719,1,2
7719,17,1
7720,19,1
7720,20,1
7720,22,2
7721,12,1
7722,20,1
7723,13,2
7723,18,1
7723,19,2
7724,15,1
7724,22,1
7727,16,1
7728,22,1
7730,16,1
7732,13,1
7732,16,1
7733,21,1
7739,1,1
7739,14,1
7740,21,1
7740,22,1
7748,16,2
7750,1,1
7750,16,1
7750,18,2
7751,12,1
7751,14,1
7755,5,1
7756,0,4
7756,2,1
7756,17,1
7756,20,1
7756,21,1
7756,22,2
7757,21,1
7762,2,1
7762,18,1
7762,20,1
7762,21,1
7762,22,4
7762,23,1
7764,0,1
7764,9,1
7764,18,1
7764,19,1
7764,20,1
7764,22,1
7834,8,1
7834,15,1
7834,17,3
7834,19,1
7834,20,1
7869,22,1
7901,0,1
7901,10,1
7901,12,2
7901,13,3
7901,14,4
7901,16,3
7901,17,3
7901,18,1
7901,19,2
7901,20,2
7901,21,2
7901,22,3
7901,23,2
7921,17,1
7921,22,1
7922,16,3
7922,17,1
7922,18,1
7924,7,1
7924,8,1
7924,18,1
7924,19,1
7927,5,1
7927,7,1
7927,8,1
7927,13,2
7927,14,1
7927,15,1
7927,16,1
7927,17,2
7927,20,1
7928,16,1
7928,18,1
7928,22,1
7931,23,1
7932,7,1
7932,16,2
7932,17,1
7932,18,1
7932,20,1
7933,3,1
7933,21,1
7936,9,1
7936,11,1
7936,13,1
7936,14,1
7936,17,1
7936,19,1
7939,11,1
7939,13,1
7939,15,1
7940,1,1
7940,4,1
7940,10,1
7940,13,1
7940,15,2
7940,16,2
7940,17,1
7940,19,1
7940,20,3
7940,21,3
7940,22,1
7940,23,1
7946,9,1
7950,10,1
7950,13,1
7950,14,1
7950,16,1
7950,18,1
7960,0,3
7960,1,1
7960,2,1
7960,6,2
7960,7,1
7960,9,1
7960,10,1
7960,12,1
7960,13,1
7960,14,1
7960,15,1
7960,17,2
7960,18,2
7960,19,5
7960,20,1
7960,21,2
7974,4,2
7974,11,1
7974,15,1
7974,16,1
7974,17,1
7974,20,1
7974,21,2
7976,10,1
7976,13,1
7980,20,1
7981,7,1
7981,8,1
7981,10,1
7981,14,1
7981,19,1
8502,14,1
8514,16,1
8520,7,1
8528,4,1
8528,10,1
8528,18,1
8536,1,1
8536,4,1
8536,11,2
8536,14,2
8536,15,1
8536,16,1
8536,18,1
8542,0,1
8542,1,3
8542,2,1
8542,13,1
8542,14,2
8542,15,4
8542,16,1
8542,19,2
8542,21,1
8542,23,1
8550,1,1
8550,7,1
8550,9,1
8550,19,1
8722,0,1
8724,22,1
8730,20,1
8730,21,1
8735,21,2
8738,19,2
8738,20,1
8742,0,1
8742,18,2
8742,22,2
8742,23,1
8750,0,2
8750,1,1
8750,18,1
8750,20,2
8750,21,2
8750,23,1
8805,19,1
8807,12,1
8807,14,1
8807,15,1
8807,19,1
8807,20,1
8812,13,1
8817,1,1
8817,7,1
8817,13,1
8820,6,2
8820,7,1
8820,8,1
8820,10,2
8820,13,1
8820,14,1
8828,11,1
8830,1,1
8830,8,1
8830,9,1
8830,11,2
8830,12,4
8830,13,3
8830,14,3
8830,15,1
8830,16,1
8830,17,3
8830,18,1
8830,23,1
8832,6,1
8837,11,1
8837,15,1
8837,17,1
8837,18,1
8837,19,1
8840,7,1
8840,12,1
8840,18,1
8840,19,2
8846,8,2
8846,10,1
8854,4,1
8854,5,1
8854,10,1
8854,12,1
8854,14,1
8854,18,1
8854,19,1
8854,20,1
8857,13,1
8859,0,1
8861,13,1
8863,6,1
8863,9,1
8863,10,3
8863,16,1
8863,17,1
8869,14,1
8869,18,1
8872,11,1
8873,12,1
8873,17,1
8876,12,2
8876,20,1
8879,3,1
8879,10,1
8879,15,1
8879,16,1
8879,21,1
8879,23,1
8880,5,1
8880,8,1
8880,18,1
8882,16,1
8901,7,1
8901,11,1
8901,13,1
8901,14,1
8901,16,2
8902,8,1
8902,12,2
8902,13,1
8902,19,1
8904,0,1
8904,1,4
8904,2,1
8904,7,2
8904,9,1
8904,13,2
8904,14,3
8904,15,1
8904,16,3
8904,20,1
8904,22,1
8904,23,2
10001,0,520
10001,1,277
10001,2,126
10001,3,163
10001,4,166
10001,5,221
10001,6,369
10001,7,638
10001,8,697
10001,9,725
10001,10,745
10001,11,843
10001,12,839
10001,13,979
10001,14,1192
10001,15,1527
10001,16,2104
10001,17,2330
10001,18,2122
10001,19,1582
10001,20,1421
10001,21,1253
10001,22,1043
10001,23,741
10002,0,749
10002,1,646
10002,2,444
10002,3,296
10002,4,214
10002,5,332
10002,6,516
10002,7,724
10002,8,808
10002,9,616
10002,10,534
10002,11,495
10002,12,571
10002,13,644
10002,14,664
10002,15,728
10002,16,758
10002,17,835
10002,18,909
10002,19,985
10002,20,1041
10002,21,1113
10002,22,1074
10002,23,921
10003,0,680
10003,1,378
10003,2,245
10003,3,224
10003,4,237
10003,5,334
10003,6,650
10003,7,895
10003,8,972
10003,9,602
10003,10,631
10003,11,621
10003,12,688
10003,13,846
10003,14,988
10003,15,1163
10003,16,1165
10003,17,1341
10003,18,1439
10003,19,1403
10003,20,1350
10003,21,1585
10003,22,1554
10003,23,1116
10004,0,2
10004,4,1
10004,5,1
10004,9,1
10004,10,2
10004,11,1
10004,12,1
10004,13,2
10004,14,4
10004,15,3
10004,16,3
10004,17,6
10004,18,6
10004,19,4
10004,20,5
10004,21,10
10004,22,12
10004,23,5
10005,0,54
10005,1,31
10005,2,19
10005,3,23
10005,4,31
10005,5,39
10005,6,53
10005,7,67
10005,8,65
10005,9,74
10005,10,105
10005,11,116
10005,12,111
10005,13,126
10005,14,180
10005,15,287
10005,16,326
10005,17,273
10005,18,258
10005,19,274
10005,20,196
10005,21,158
10005,22,128
10005,23,104
10006,0,50
10006,1,24
10006,2,16
10006,3,19
10006,4,32
10006,5,44
10006,6,46
10006,7,58
10006,8,67
10006,9,66
10006,10,99
10006,11,97
10006,12,101
10006,13,142
10006,14,168
10006,15,226
10006,16,242
10006,17,231
10006,18,233
10006,19,228
10006,20,183
10006,21,175
10006,22,116
10006,23,75
10007,0,84
10007,1,60
10007,2,34
10007,3,38
10007,4,42
10007,5,61
10007,6,110
10007,7,112
10007,8,118
10007,9,130
10007,10,142
10007,11,163
10007,12,182
10007,13,167
10007,14,227
10007,15,291
10007,16,300
10007,17,343
10007,18,364
10007,19,324
10007,20,281
10007,21,264
10007,22,223
10007,23,166
10009,0,424
10009,1,221
10009,2,165
10009,3,173
10009,4,172
10009,5,333
10009,6,726
10009,7,1045
10009,8,1150
10009,9,596
10009,10,380
10009,11,388
10009,12,359
10009,13,365
10009,14,424
10009,15,490
10009,16,534
10009,17,623
10009,18,626
10009,19,655
10009,20,589
10009,21,563
10009,22,600
10009,23,480
10011,0,792
10011,1,516
10011,2,363
10011,3,355
10011,4,345
10011,5,439
10011,6,836
10011,7,1266
10011,8,1103
10011,9,885
10011,10,880
10011,11,905
10011,12,913
10011,13,1181
10011,14,1451
10011,15,1673
10011,16,1989
10011,17,2088
10011,18,2112
10011,19,1929
10011,20,1763
10011,21,2092
10011,22,1853
10011,23,1354
10012,0,760
10012,1,445
10012,2,233
10012,3,236
10012,4,225
10012,5,313
10012,6,585
10012,7,801
10012,8,831
10012,9,803
10012,10,815
10012,11,949
10012,12,1078
10012,13,1255
10012,14,1493
10012,15,1889
10012,16,2058
10012,17,2246
10012,18,2107
10012,19,2082
10012,20,1993
10012,21,2163
10012,22,1997
10012,23,1383
10013,0,220
10013,1,144
10013,2,78
10013,3,96
10013,4,100
10013,5,156
10013,6,298
10013,7,373
10013,8,418
10013,9,436
