Zip,Weekday,Number of Trips
10023,5,1304
10023,6,965
10024,0,9
10024,1,11
10024,2,8
10024,3,12
10024,4,18
10024,5,18
10024,6,11
10025,0,302
10025,1,322
10025,2,333
10025,3,338
10025,4,413
10025,5,365
10025,6,278
10026,0,194
10026,1,182
10026,2,183
10026,3,223
10026,4,215
10026,5,324
10026,6,226
10027,0,149
10027,1,147
10027,2,136
10027,3,160
10027,4,180
10027,5,212
10027,6,139
10028,0,1279
10028,1,1560
10028,2,1657
10028,3,1689
10028,4,1619
10028,5,1322
10028,6,872
10029,0,274
10029,1,337
10029,2,328
10029,3,356
10029,4,351
10029,5,309
10029,6,217
10030,0,104
10030,1,94
10030,2,100
10030,3,119
10030,4,136
10030,5,171
10030,6,116
10031,0,44
10031,1,78
10031,2,77
10031,3,65
10031,4,75
10031,5,85
10031,6,96
10032,0,124
10032,1,137
10032,2,113
10032,3,118
10032,4,125
10032,5,123
10032,6,120
10034,0,83
10034,1,85
10034,2,91
10034,3,103
10034,4,121
10034,5,156
10034,6,141
10035,0,109
10035,1,115
10035,2,90
10035,3,141
10035,4,201
10035,5,215
10035,6,197
10037,0,96
10037,1,117
10037,2,115
10037,3,127
10037,4,126
10037,5,170
10037,6,125
10038,0,245
10038,1,332
10038,2,341
10038,3,393
10038,4,486
10038,5,448
10038,6,249
10039,0,74
10039,1,104
10039,2,96
10039,3,84
10039,4,99
10039,5,99
10039,6,86
10044,0,668
10044,1,876
10044,2,831
10044,3,899
10044,4,936
10044,5,655
10044,6,398
10065,0,992
10065,1,1186
10065,2,1273
10065,3,1305
10065,4,1270
10065,5,1043
10065,6,668
10069,0,455
10069,1,509
10069,2,497
10069,3,548
10069,4,546
10069,5,440
10069,6,282
10103,0,1180
10103,1,1568
10103,2,1758
10103,3,1779
10103,4,1439
10103,5,905
10103,6,676
10110,0,1777
10110,1,2625
10110,2,2810
10110,3,2850
10110,4,2143
10110,5,987
10110,6,678
10111,0,450
10111,1,709
10111,2,689
10111,3,696
10111,4,538
10111,5,245
10111,6,165
10112,0,164
10112,1,222
10112,2,232
10112,3,232
10112,4,165
10112,5,49
10112,6,34
10115,0,73
10115,1,74
10115,2,92
10115,3,120
10115,4,101
10115,5,86
10115,6,81
10119,0,985
10119,1,1180
10119,2,1294
10119,3,1368
10119,4,1189
10119,5,599
