Zip,Hour,Number of Trips
7666,7,1
7666,10,2
7666,11,1
7666,12,1
7666,13,2
7666,14,2
7666,15,3
7666,16,1
7666,17,1
7666,18,1
7666,20,2
7666,22,1
7670,0,2
7670,3,1
7670,4,2
7670,5,1
7670,7,5
7670,11,1
7670,12,1
7670,13,2
7670,14,1
7670,16,3
7670,17,1
7670,19,1
7670,20,1
7670,21,1
7670,22,2
7670,23,3
7675,17,1
7676,0,1
7676,7,1
7676,13,2
7676,17,1
7676,19,1
7676,22,2
7677,13,1
7677,18,2
7701,1,1
7701,18,1
7701,22,1
7702,16,1
7704,2,1
7704,17,1
7711,18,1
7711,19,2
7712,22,1
7716,13,1
7716,21,1
7717,0,5
7717,1,2
7717,11,1
7717,17,1
7717,18,2
7717,19,2
7717,20,1
7717,21,9
7717,22,4
7717,23,2
7719,21,1
7720,20,3
7720,22,1
7722,23,1
7723,22,1
7724,0,1
7724,21,1
7728,22,1
7730,11,1
7733,8,1
7733,17,1
7733,20,1
7733,22,2
7734,13,1
7739,14,1
7739,18,1
7740,0,1
7740,20,2
7746,16,1
7746,21,1
7747,0,1
7748,16,1
7748,21,1
7750,19,1
7750,21,1
7751,12,1
7753,16,1
7753,20,1
7755,5,1
7756,0,4
7756,1,2
7756,20,1
7756,22,2
7760,0,1
7760,21,4
7762,16,1
7762,17,1
7762,18,1
7762,19,1
7762,20,1
7762,22,2
7762,23,1
7801,12,1
7834,14,2
7901,0,2
7901,1,2
7901,3,1
7901,5,1
7901,7,1
7901,9,1
7901,10,1
7901,11,1
7901,12,2
7901,13,1
7901,14,1
7901,15,1
7901,16,2
7901,17,1
7901,18,1
7901,19,1
7901,20,2
7901,21,3
7901,22,1
7901,23,1
7920,11,1
7920,12,1
7921,16,1
7922,9,1
7922,11,1
7922,17,2
7922,18,1
7922,20,1
7922,22,1
7924,11,1
7924,17,1
7927,0,1
7927,1,1
7927,6,1
7927,7,2
7927,8,1
7927,12,1
7927,13,1
7927,15,1
7927,16,2
7927,17,1
7927,20,1
7927,23,1
7928,15,2
7928,18,1
7928,19,1
7928,22,1
7932,7,2
7932,13,1
7932,14,1
7932,15,1
7932,16,1
7932,18,1
7932,21,1
7932,22,2
7933,17,1
7936,5,1
7936,8,1
7936,9,1
7936,13,1
7936,14,3
7936,15,3
7936,17,1
7936,18,1
7936,19,1
7936,20,2
7940,0,1
7940,5,1
7940,7,2
7940,8,4
7940,10,1
7940,12,2
7940,13,3
7940,17,1
7940,20,1
7940,21,1
7940,22,2
7940,23,2
7945,9,1
7950,11,1
7950,14,1
7950,17,1
7950,19,1
7960,0,5
7960,2,1
7960,7,1
7960,10,1
7960,15,2
7960,17,1
7960,19,1
7960,20,1
7960,21,6
7960,22,6
7974,4,3
7974,5,1
7974,7,1
7974,12,1
7974,13,1
7974,14,1
7974,23,1
7976,12,2
7981,7,1
7981,10,1
7981,13,1
7981,15,1
7981,22,1
8520,0,1
8520,14,1
8536,14,1
8536,16,1
8542,0,2
8542,1,4
8542,6,1
8542,11,1
8542,13,3
8542,14,1
8542,15,1
8542,16,1
8542,20,1
8542,21,2
8542,22,1
8542,23,3
8550,10,1
8550,22,1
8730,0,1
8730,20,1
8730,21,2
8730,22,1
8735,20,1
8735,22,1
8736,16,1
8738,19,1
8742,16,1
8742,20,1
8742,21,1
8742,23,1
8750,0,1
8750,17,1
8750,21,1
8750,22,1
8750,23,4
8805,10,1
8807,14,1
8807,18,1
8807,19,1
8810,13,1
8810,14,1
8816,17,1
8817,4,1
8817,6,1
8817,13,2
8817,16,1
8817,17,1
8817,20,1
8820,6,1
8820,7,1
8820,13,2
8822,13,1
8824,8,1
8830,0,1
8830,4,1
8830,8,2
8830,9,2
8830,11,2
8830,12,1
8830,13,1
8830,14,1
8830,15,1
8830,16,1
8830,17,4
8830,19,1
8830,21,2
8837,3,1
8837,7,1
8837,10,1
8837,12,1
8837,16,1
8840,7,1
8840,14,1
8850,21,1
8852,12,1
8854,4,1
8854,10,1
8854,11,1
8854,12,2
8854,15,2
8854,16,1
8854,17,1
8854,20,1
8857,0,1
8859,0,1
8859,6,1
8859,19,1
8861,14,1
8863,2,1
8863,6,1
8863,12,1
8863,17,1
8863,18,1
8869,7,2
8869,15,1
8869,18,1
8869,23,1
8879,11,1
8880,0,1
8880,4,1
8880,7,1
8880,11,1
8880,12,1
8880,15,1
8880,22,1
8882,11,1
8882,21,1
8901,0,1
8901,6,1
8901,9,1
8901,11,1
8901,21,1
8902,10,2
8902,11,1
8904,0,2
8904,5,1
8904,7,1
8904,10,1
8904,11,3
8904,12,2
8904,13,1
8904,15,1
8904,18,2
8904,19,1
10001,0,470
10001,1,282
10001,2,169
10001,3,143
10001,4,182
10001,5,196
10001,6,331
10001,7,573
10001,8,672
10001,9,713
10001,10,757
10001,11,862
10001,12,850
10001,13,1004
10001,14,1226
10001,15,1554
10001,16,2045
10001,17,2264
10001,18,2144
10001,19,1532
10001,20,1360
10001,21,1214
10001,22,1063
10001,23,700
10002,0,758
10002,1,646
10002,2,426
10002,3,262
10002,4,221
10002,5,343
10002,6,512
10002,7,730
